output,input,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi
upfront_kt,slope_T,0.0007157181372416313,-0.0017258053284338907,0.003029639671364754,0.0007941889187918635,0.0006911220853620528,0.000906170857014857
upfront_kt,slope_A,0.00028401853836942904,-0.0006351858259107551,0.0012037601780374779,0.00012515877446794474,0.00010446621107843262,0.00015329921049400495
upfront_kt,size,0.27411304870339304,0.22968933778700656,0.317209608370959,0.2692416550470414,0.24129799630076376,0.3017344794542437
upfront_kt,complete,0.014494332449887471,0.00435821361270097,0.025476716426875625,0.016050750213389687,0.014598563845538608,0.017863108654216708
upfront_kt,pre_share,0.003187787826316671,-0.000991844137277317,0.007136210123136288,0.0021846806951622737,0.0019752959772965264,0.0024217063078265165
upfront_kt,vacancy,0.04404698648250607,0.025708875831151792,0.06115241993935397,0.04602602303720166,0.04109400436085716,0.05077683401424647
upfront_kt,rv_share,0.0037775623436399858,-0.0019999780351046778,0.009474905964993657,0.004361083545829147,0.0039174564665386885,0.004848610296484833
upfront_kt,carbon,0.07139265594736535,0.046090462000486776,0.09455600658576835,0.07376608654409206,0.06649326943016864,0.08120646423407474
RV_units,z_pop,0.20099158041280785,0.15895524664642943,0.2484745436385137,0.25416613876095934,0.22936018446040046,0.28513601488422824
RV_units,b,0.0009262443301648871,-0.00662022339273719,0.0076654944422841174,0.007730637621423556,0.005961452698175072,0.011153809260770321
RV_units,rho,0.08629110135161441,0.05258503701164553,0.1259387968205235,0.1250546725277057,0.10396650202622255,0.15036216933122432
RV_units,phi,0.0,,,0.0,,
RV_units,slope_T,0.0,,,0.0,,
RV_units,slope_A,0.0,,,0.0,,
RV_units,size,0.0,,,0.0,,
RV_units,complete,0.01004958575702851,0.0010887087926763194,0.018346446961961235,0.00954154168731805,0.008662940201001914,0.01048289217010618
RV_units,pre_share,0.0013293817763502698,-0.0014358174684176545,0.004582257485703727,0.001293147752271419,0.0011676901121073823,0.0014345651739666476
RV_units,vacancy,0.02654408067092333,0.012285001598492325,0.03981284411280619,0.02752585802346637,0.024807302491660417,0.03033846904921639
RV_units,rv_share,0.6223039973395309,0.5499950411113785,0.6852532169441428,0.6322822961895386,0.5821727038289779,0.6842761948863696
RV_units,carbon,0.0,,,0.0,,
households_2050_M,z_pop,0.6008632117742676,0.5207840759392744,0.6890684270866128,0.7472917583765535,0.6791324254142767,0.8215346875692573
households_2050_M,b,0.0034347023179608638,-0.007260230819940648,0.01512070038301412,0.021919376263317365,0.01717775625901263,0.0298195621753289
households_2050_M,rho,0.2574055178821102,0.20223785902748698,0.3249847001659344,0.3696206238170525,0.3099754236549674,0.43693929840789786
households_2050_M,phi,0.0,,,0.0,,
households_2050_M,slope_T,0.0,,,0.0,,
households_2050_M,slope_A,0.0,,,0.0,,
households_2050_M,size,0.0,,,0.0,,
households_2050_M,complete,0.0,,,0.0,,
households_2050_M,pre_share,0.0,,,0.0,,
households_2050_M,vacancy,0.0,,,0.0,,
households_2050_M,rv_share,0.0,,,0.0,,
households_2050_M,carbon,0.0,,,0.0,,
S_2050,z_pop,0.7488531096935174,0.666011534206616,0.8412946938209935,0.84221416931848,0.7499296825320827,0.9651405615031852
S_2050,b,0.0015789111571576434,-0.006830883486856221,0.011863136795486425,0.015444544073149831,0.012210871132824827,0.021507949168559713
S_2050,rho,0.16029573215496826,0.1091613958129091,0.21912132918851013,0.246394915566358,0.2097834745429638,0.2863132360706812
S_2050,phi,0.0,,,0.0,,
S_2050,slope_T,0.0,,,0.0,,
S_2050,slope_A,0.0,,,0.0,,
S_2050,size,0.0,,,0.0,,
S_2050,complete,0.0,,,0.0,,
S_2050,pre_share,0.0,,,0.0,,
S_2050,vacancy,0.0,,,0.0,,
S_2050,rv_share,0.0,,,0.0,,
S_2050,carbon,0.0,,,0.0,,
